rect,N,M,S_est,abs_err,rel_err
tight,36600,28692,0.78393442622950815224,0.16058275967049184807,0.17001570968502568992
tight,37100,29259,0.78865229110512125033,0.15586489479487874998,0.16502070806298788086
tight,37600,29515,0.78497340425531914043,0.15954378164468085988,0.16891570002790021188
tight,38100,29775,0.78149606299212603933,0.16302112290787396098,0.17259730721843496992
tight,38600,30383,0.78712435233160626957,0.15739283356839373074,0.16663840099258667160
tight,39100,30671,0.78442455242966746543,0.16009263347033253488,0.16949679249910673540
tight,39600,31099,0.78532828282828281985,0.15918890307171718046,0.16853997518322677562
tight,40100,31492,0.78533665835411470280,0.15918052754588529751,0.16853110766238446616
tight,40600,31926,0.78635467980295570278,0.15816250609704429753,0.16745328561315306337
tight,41100,32396,0.78822384428223846164,0.15629334161776153866,0.16547432270259290754
tight,41600,32711,0.78632211538461538325,0.15819507051538461706,0.16748776293005790405
tight,42100,33017,0.78425178147268403972,0.16026540442731596059,0.16967971236500500876
tight,42600,33486,0.78605633802816898825,0.15846084787183101206,0.16776915257591504260
tight,43100,33745,0.78294663573085843122,0.16157055016914156909,0.17106152495805165836
tight,43600,34216,0.78477064220183490040,0.15974654369816509991,0.16913037272683159595
tight,44100,34676,0.78630385487528342559,0.15821333102471657472,0.16750709609794997568
tight,44600,34973,0.78414798206278024661,0.16036920383721975369,0.16978960915825910827
tight,45100,35387,0.78463414634146344540,0.15988303955853655491,0.16927488662494707961
tight,45600,35818,0.78548245614035083761,0.15903472975964916269,0.16837674542481731454
tight,46100,36147,0.78409978308026029303,0.16041740281973970728,0.16984063944467367446
tight,46600,36670,0.78690987124463518398,0.15760731465536481632,0.16686548112429092083
tight,47100,37025,0.78609341825902334655,0.15842376764097665376,0.16772989417870651230
tight,47600,37224,0.78201680672268902850,0.16250037917731097181,0.17204597396760928918
tight,48100,37809,0.78604989604989605745,0.15846728985010394286,0.16777597296877724831
tight,48600,37935,0.78055555555555555802,0.16396163034444444229,0.17359306192847162587
tight,49100,38482,0.78374745417515279122,0.16076973172484720909,0.17021366484894068227
tight,49600,38833,0.78292338709677422592,0.16159379880322577439,0.17108613926304394592
tight,50100,39357,0.78556886227544908685,0.15894832362455091346,0.16828526362185158849
tight,50600,39651,0.78361660079051387306,0.16090058510948612724,0.17035220482110036144
tight,51100,40237,0.78741682974559690233,0.15710035615440309797,0.16632874287481305697
tight,51600,40566,0.78616279069767447396,0.15835439520232552635,0.16765644666532428242
tight,52100,40807,0.78324376199616119187,0.16127342390383880844,0.17074694490621317167
tight,52600,41399,0.78705323193916354452,0.15746395396083645579,0.16671369913803540941
tight,53100,41635,0.78408662900188319522,0.16043055689811680509,0.16985456621972178093
tight,53600,42030,0.78414179104477610416,0.16037539485522389615,0.16979616384894824499
tight,54100,42638,0.78813308687615524217,0.15638409902384475814,0.16557041137883732329
tight,54600,43044,0.78835164835164839303,0.15616553754835160728,0.16533901116849081259
tight,55100,43335,0.78647912885662429883,0.15803805704337570148,0.16732152617507570214
tight,55600,43597,0.78411870503597125293,0.16039848086402874738,0.16982060597572948279
tight,56100,44057,0.78532976827094469474,0.15918741762905530557,0.16853840248271473312
tight,56600,44562,0.78731448763250888589,0.15720269826749111441,0.16643709676674409148
tight,57100,44851,0.78548161120840631622,0.15903557469159368409,0.16837763998974122903
tight,57600,45282,0.78614583333333332149,0.15837135256666667882,0.16767440013890241857
tight,58100,45643,0.78559380378657484023,0.15892338211342516008,0.16825885699686043973
tight,58600,46073,0.78622866894197951382,0.15828851695802048649,0.16758669860219901904
tight,59100,46488,0.78659898477157363939,0.15791820112842636092,0.16719462968580206530
tight,59600,46708,0.78369127516778525067,0.16082591073221474964,0.17027314392270048726
tight,60100,47115,0.78394342762063229380,0.16057375827936770651,0.17000617953432170526
tight,60600,47585,0.78523102310231018830,0.15928616279768981201,0.16864294813853614174
tight,61100,47995,0.78551554828150571552,0.15900163761849428479,0.16834170938561243691
